1    Input Finished. Beginning initialisation.
445  2.554000E+00  -4.185973E+00 
446  2.553000E+00  -4.178688E+00 
447  2.552000E+00  -4.171411E+00 
448  2.551000E+00  -4.164139E+00 
449  2.550000E+00  -4.156866E+00 
450  2.549000E+00  -4.149589E+00 
451  2.548000E+00  -4.142284E+00 
452  2.547000E+00  -4.134933E+00 
453  2.546000E+00  -4.127543E+00 
454  2.545000E+00  -4.120117E+00 
455  2.544000E+00  -4.112661E+00 
456  2.543000E+00  -4.105178E+00 
457  2.542000E+00  -4.097675E+00 
458  2.541000E+00  -4.090156E+00 
459  2.540000E+00  -4.082625E+00 
460  2.539000E+00  -4.075087E+00 
461  2.538000E+00  -4.067565E+00 
462  2.537000E+00  -4.060077E+00 
463  2.536000E+00  -4.052618E+00 
464  2.535000E+00  -4.045183E+00 
465  2.534000E+00  -4.037767E+00 
466  2.533000E+00  -4.030365E+00 
467  2.532000E+00  -4.022973E+00 
468  2.531000E+00  -4.015587E+00 
469  2.530000E+00  -4.008200E+00 
470  2.529000E+00  -4.000811E+00 
471  2.528000E+00  -3.993396E+00 
472  2.527000E+00  -3.985938E+00 
473  2.526000E+00  -3.978442E+00 
474  2.525000E+00  -3.970914E+00 
475  2.524000E+00  -3.963356E+00 
476  2.523000E+00  -3.955775E+00 
477  2.522000E+00  -3.948173E+00 
478  2.521000E+00  -3.940557E+00 
479  2.520000E+00  -3.932930E+00 
480  2.519000E+00  -3.925297E+00 
481  2.518000E+00  -3.917680E+00 
482  2.517000E+00  -3.910096E+00 
483  2.516000E+00  -3.902542E+00 
484  2.515000E+00  -3.895014E+00 
485  2.514000E+00  -3.887507E+00 
486  2.513000E+00  -3.880018E+00 
487  2.512000E+00  -3.872542E+00 
488  2.511000E+00  -3.865074E+00 
489  2.510000E+00  -3.857611E+00 
490  2.509000E+00  -3.850149E+00 
491  2.508000E+00  -3.842668E+00 
492  2.507000E+00  -3.835152E+00 
493  2.506000E+00  -3.827605E+00 
494  2.505000E+00  -3.820031E+00 
495  2.504000E+00  -3.812434E+00 
496  2.503000E+00  -3.804819E+00 
497  2.502000E+00  -3.797190E+00 
498  2.501000E+00  -3.789550E+00 
499  2.500000E+00  -3.781904E+00 
500  2.499000E+00  -3.774255E+00 
501  2.498000E+00  -3.766624E+00 
502  2.497000E+00  -3.759026E+00 
503  2.496000E+00  -3.751456E+00 
504  2.495000E+00  -3.743910E+00 
505  2.494000E+00  -3.736384E+00 
506  2.493000E+00  -3.728875E+00 
507  2.492000E+00  -3.721377E+00 
508  2.491000E+00  -3.713888E+00 
509  2.490000E+00  -3.706404E+00 
510  2.489000E+00  -3.698921E+00 
511  2.488000E+00  -3.691419E+00 
512  2.487000E+00  -3.683886E+00 
513  2.486000E+00  -3.676323E+00 
514  2.485000E+00  -3.668736E+00 
515  2.484000E+00  -3.661128E+00 
516  2.483000E+00  -3.653502E+00 
517  2.482000E+00  -3.645863E+00 
518  2.481000E+00  -3.638214E+00 
519  2.480000E+00  -3.630558E+00 
520  2.479000E+00  -3.622900E+00 
521  2.478000E+00  -3.615257E+00 
522  2.477000E+00  -3.607645E+00 
523  2.476000E+00  -3.600058E+00 
524  2.475000E+00  -3.592494E+00 
525  2.474000E+00  -3.584948E+00 
526  2.473000E+00  -3.577417E+00 
527  2.472000E+00  -3.569897E+00 
528  2.471000E+00  -3.562386E+00 
529  2.470000E+00  -3.554878E+00 
530  2.469000E+00  -3.547372E+00 
531  2.468000E+00  -3.539850E+00 
532  2.467000E+00  -3.532298E+00 
533  2.466000E+00  -3.524720E+00 
534  2.465000E+00  -3.517120E+00 
535  2.464000E+00  -3.509500E+00 
536  2.463000E+00  -3.501865E+00 
537  2.462000E+00  -3.494217E+00 
538  2.461000E+00  -3.486560E+00 
539  2.460000E+00  -3.478898E+00 
540  2.459000E+00  -3.471233E+00 
541  2.458000E+00  -3.463582E+00 
542  2.457000E+00  -3.455958E+00 
543  2.456000E+00  -3.448358E+00 
544  2.455000E+00  -3.440779E+00 
545  2.454000E+00  -3.433217E+00 
546  2.453000E+00  -3.425668E+00 
547  2.452000E+00  -3.418130E+00 
548  2.451000E+00  -3.410600E+00 
549  2.450000E+00  -3.403074E+00 
550  2.449000E+00  -3.395549E+00 
551  2.448000E+00  -3.388011E+00 
552  2.447000E+00  -3.380445E+00 
553  2.446000E+00  -3.372856E+00 
554  2.445000E+00  -3.365247E+00 
555  2.444000E+00  -3.357621E+00 
556  2.443000E+00  -3.349980E+00 
557  2.442000E+00  -3.342328E+00 
558  2.441000E+00  -3.334668E+00 
559  2.440000E+00  -3.327003E+00 
560  2.439000E+00  -3.319335E+00 
561  2.438000E+00  -3.311680E+00 
562  2.437000E+00  -3.304050E+00 
563  2.436000E+00  -3.296442E+00 
564  2.435000E+00  -3.288852E+00 
565  2.434000E+00  -3.281277E+00 
566  2.433000E+00  -3.273715E+00 
567  2.432000E+00  -3.266163E+00 
568  2.431000E+00  -3.258618E+00 
569  2.430000E+00  -3.251078E+00 
570  2.429000E+00  -3.243541E+00 
571  2.428000E+00  -3.235992E+00 
572  2.427000E+00  -3.228422E+00 
573  2.426000E+00  -3.220834E+00 
574  2.425000E+00  -3.213229E+00 
575  2.424000E+00  -3.205612E+00 
576  2.423000E+00  -3.197984E+00 
577  2.422000E+00  -3.190349E+00 
578  2.421000E+00  -3.182708E+00 
579  2.420000E+00  -3.175065E+00 
580  2.419000E+00  -3.167421E+00 
581  2.418000E+00  -3.159791E+00 
582  2.417000E+00  -3.152182E+00 
583  2.416000E+00  -3.144593E+00 
584  2.415000E+00  -3.137021E+00 
585  2.414000E+00  -3.129463E+00 
586  2.413000E+00  -3.121917E+00 
587  2.412000E+00  -3.114380E+00 
588  2.411000E+00  -3.106849E+00 
589  2.410000E+00  -3.099323E+00 
590  2.409000E+00  -3.091799E+00 
591  2.408000E+00  -3.084265E+00 
592  2.407000E+00  -3.076713E+00 
593  2.406000E+00  -3.069144E+00 
594  2.405000E+00  -3.061561E+00 
595  2.404000E+00  -3.053966E+00 
596  2.403000E+00  -3.046363E+00 
597  2.402000E+00  -3.038752E+00 
598  2.401000E+00  -3.031137E+00 
599  2.400000E+00  -3.023520E+00 
600  2.399000E+00  -3.015905E+00 
601  2.398000E+00  -3.008305E+00 
602  2.397000E+00  -3.000727E+00 
603  2.396000E+00  -2.993171E+00 
604  2.395000E+00  -2.985632E+00 
605  2.394000E+00  -2.978110E+00 
606  2.393000E+00  -2.970601E+00 
607  2.392000E+00  -2.963104E+00 
608  2.391000E+00  -2.955617E+00 
609  2.390000E+00  -2.948137E+00 
610  2.389000E+00  -2.940662E+00 
611  2.388000E+00  -2.933183E+00 
612  2.387000E+00  -2.925692E+00 
613  2.386000E+00  -2.918191E+00 
614  2.385000E+00  -2.910682E+00 
615  2.384000E+00  -2.903166E+00 
616  2.383000E+00  -2.895647E+00 
617  2.382000E+00  -2.888124E+00 
618  2.381000E+00  -2.880601E+00 
619  2.380000E+00  -2.873079E+00 
620  2.379000E+00  -2.865560E+00 
621  2.378000E+00  -2.858053E+00 
622  2.377000E+00  -2.850565E+00 
623  2.376000E+00  -2.843094E+00 
624  2.375000E+00  -2.835639E+00 
625  2.374000E+00  -2.828197E+00 
626  2.373000E+00  -2.820767E+00 
627  2.372000E+00  -2.813346E+00 
628  2.371000E+00  -2.805933E+00 
629  2.370000E+00  -2.798527E+00 
630  2.369000E+00  -2.791124E+00 
631  2.368000E+00  -2.783718E+00 
632  2.367000E+00  -2.776302E+00 
633  2.366000E+00  -2.768876E+00 
634  2.365000E+00  -2.761443E+00 
635  2.364000E+00  -2.754004E+00 
636  2.363000E+00  -2.746562E+00 
637  2.362000E+00  -2.739116E+00 
638  2.361000E+00  -2.731670E+00 
639  2.360000E+00  -2.724225E+00 
640  2.359000E+00  -2.716782E+00 
641  2.358000E+00  -2.709349E+00 
642  2.357000E+00  -2.701932E+00 
643  2.356000E+00  -2.694531E+00 
644  2.355000E+00  -2.687142E+00 
645  2.354000E+00  -2.679764E+00 
646  2.353000E+00  -2.672397E+00 
647  2.352000E+00  -2.665038E+00 
648  2.351000E+00  -2.657685E+00 
649  2.350000E+00  -2.650338E+00 
650  2.349000E+00  -2.642995E+00 
651  2.348000E+00  -2.635648E+00 
652  2.347000E+00  -2.628291E+00 
653  2.346000E+00  -2.620927E+00 
654  2.345000E+00  -2.613556E+00 
655  2.344000E+00  -2.606180E+00 
656  2.343000E+00  -2.598800E+00 
657  2.342000E+00  -2.591418E+00 
658  2.341000E+00  -2.584035E+00 
659  2.340000E+00  -2.576652E+00 
660  2.339000E+00  -2.569271E+00 
661  2.338000E+00  -2.561899E+00 
662  2.337000E+00  -2.554541E+00 
663  2.336000E+00  -2.547195E+00 
664  2.335000E+00  -2.539862E+00 
665  2.334000E+00  -2.532537E+00 
666  2.333000E+00  -2.525222E+00 
667  2.332000E+00  -2.517913E+00 
668  2.331000E+00  -2.510611E+00 
669  2.330000E+00  -2.503313E+00 
670  2.329000E+00  -2.496018E+00 
671  2.328000E+00  -2.488720E+00 
672  2.327000E+00  -2.481413E+00 
673  2.326000E+00  -2.474100E+00 
674  2.325000E+00  -2.466780E+00 
675  2.324000E+00  -2.459456E+00 
676  2.323000E+00  -2.452128E+00 
677  2.322000E+00  -2.444798E+00 
678  2.321000E+00  -2.437467E+00 
679  2.320000E+00  -2.430136E+00 
680  2.319000E+00  -2.422807E+00 
681  2.318000E+00  -2.415485E+00 
682  2.317000E+00  -2.408175E+00 
683  2.316000E+00  -2.400876E+00 
684  2.315000E+00  -2.393586E+00 
685  2.314000E+00  -2.386305E+00 
686  2.313000E+00  -2.379032E+00 
687  2.312000E+00  -2.371764E+00 
688  2.311000E+00  -2.364502E+00 
689  2.310000E+00  -2.357244E+00 
690  2.309000E+00  -2.349988E+00 
691  2.308000E+00  -2.342729E+00 
692  2.307000E+00  -2.335463E+00 
693  2.306000E+00  -2.328191E+00 
694  2.305000E+00  -2.320913E+00 
695  2.304000E+00  -2.313631E+00 
